algorithm,array_type,n,avg_time_us,avg_char_comparisons
MSDRadixSort,almost,1700,951.542,3868
MSBRadixSort,almost,1700,2611.14,33858
quickSort,random,1800,156.903,57320
mergeSort,random,1800,145.375,23865
TernaryQuickSort,random,1800,3321.85,31160
StringMergeSort,random,1800,124.181,15571
MSDRadixSort,random,1800,938.361,4099
MSBRadixSort,random,1800,1583.04,14645
quickSort,reverse,1800,83.75,53174
mergeSort,reverse,1800,87.3053,14059
TernaryQuickSort,reverse,1800,12726.1,91180
StringMergeSort,reverse,1800,111.903,6289
MSDRadixSort,reverse,1800,887.208,4098
MSBRadixSort,reverse,1800,3339.5,24360
quickSort,almost,1800,107.486,88887
mergeSort,almost,1800,96.5973,19655
TernaryQuickSort,almost,1800,5033.04,61676
StringMergeSort,almost,1800,67.708,7721
MSDRadixSort,almost,1800,1019.93,4098
MSBRadixSort,almost,1800,2726.62,37174
quickSort,random,1900,135.014,62032
mergeSort,random,1900,166.417,25539
TernaryQuickSort,random,1900,3137,34036
StringMergeSort,random,1900,132.722,16588
MSDRadixSort,random,1900,1121.75,4407
MSBRadixSort,random,1900,1569.11,15680
quickSort,reverse,1900,93.2087,58093
mergeSort,reverse,1900,102.069,15077
TernaryQuickSort,reverse,1900,14046.7,99866
StringMergeSort,reverse,1900,68.625,6688
MSDRadixSort,reverse,1900,986.292,4357
MSBRadixSort,reverse,1900,3632.79,26816
quickSort,almost,1900,115.569,90753
mergeSort,almost,1900,105.042,21175
TernaryQuickSort,almost,1900,5219.38,63065
StringMergeSort,almost,1900,73.6807,8260
MSDRadixSort,almost,1900,1051.76,4417
MSBRadixSort,almost,1900,3001.78,38364
quickSort,random,2000,156.764,65946
mergeSort,random,2000,188.014,27207
TernaryQuickSort,random,2000,4023.51,41633
StringMergeSort,random,2000,165.278,17671
MSDRadixSort,random,2000,1060.17,4608
MSBRadixSort,random,2000,1802.15,16909
quickSort,reverse,2000,95.1803,68713
mergeSort,reverse,2000,97.5417,16330
TernaryQuickSort,reverse,2000,14414.9,104065
StringMergeSort,reverse,2000,76.9583,7252
MSDRadixSort,reverse,2000,1182.29,4628
MSBRadixSort,reverse,2000,3747.99,28919
quickSort,almost,2000,117.083,79758
mergeSort,almost,2000,129.055,22611
TernaryQuickSort,almost,2000,6130.22,70876
StringMergeSort,almost,2000,78.375,8523
MSDRadixSort,almost,2000,1080.42,4607
MSBRadixSort,almost,2000,3171.71,44543
quickSort,random,2100,171.403,71893
mergeSort,random,2100,265.375,28801
TernaryQuickSort,random,2100,4271.92,40040
StringMergeSort,random,2100,144.361,18561
MSDRadixSort,random,2100,1098.4,4859
MSBRadixSort,random,2100,1951.26,18282
quickSort,reverse,2100,114.278,73906
mergeSort,reverse,2100,107.306,17183
TernaryQuickSort,reverse,2100,15565.9,112787
StringMergeSort,reverse,2100,76.542,7573
MSDRadixSort,reverse,2100,1164,4849
MSBRadixSort,reverse,2100,4136.33,31772
quickSort,almost,2100,112.611,81382
mergeSort,almost,2100,119.027,23340
TernaryQuickSort,almost,2100,6107.35,80514
StringMergeSort,almost,2100,84.4167,9220
MSDRadixSort,almost,2100,1087.99,4838
MSBRadixSort,almost,2100,3335.24,48128
quickSort,random,2200,158.167,71966
mergeSort,random,2200,209.528,30604
TernaryQuickSort,random,2200,3872,38912
StringMergeSort,random,2200,151.056,19638
MSDRadixSort,random,2200,1297.6,5141
MSBRadixSort,random,2200,2135.11,19253
quickSort,reverse,2200,106.708,78923
mergeSort,reverse,2200,108.236,17957
TernaryQuickSort,reverse,2200,16667.5,118471
StringMergeSort,reverse,2200,77.0417,7880
MSDRadixSort,reverse,2200,1160.56,5111
MSBRadixSort,reverse,2200,4303.25,34267
quickSort,almost,2200,157.778,116259
mergeSort,almost,2200,122,25641
TernaryQuickSort,almost,2200,7213.46,89364
StringMergeSort,almost,2200,86.6667,9683
MSDRadixSort,almost,2200,1183.88,5148
MSBRadixSort,almost,2200,4129.57,49651
quickSort,random,2300,173.722,73512
mergeSort,random,2300,207.097,32173
TernaryQuickSort,random,2300,4716.97,48141
StringMergeSort,random,2300,173,20660
MSDRadixSort,random,2300,1191.12,5358
MSBRadixSort,random,2300,2621.93,20357
quickSort,reverse,2300,263.264,77055
mergeSort,reverse,2300,137.25,18806
TernaryQuickSort,reverse,2300,20003.5,126032
StringMergeSort,reverse,2300,80.1667,8193
MSDRadixSort,reverse,2300,1266.28,5398
MSBRadixSort,reverse,2300,4712.99,36747
quickSort,almost,2300,126.014,102799
mergeSort,almost,2300,132.375,27189
TernaryQuickSort,almost,2300,8643.49,101917
StringMergeSort,almost,2300,96.625,10302
MSDRadixSort,almost,2300,1268.65,5386
MSBRadixSort,almost,2300,4041.61,55359
quickSort,random,2400,174.209,78087
